Date,Open,High,Low,Close,Volume,Stock Name,id
10/1/20,244.52,250.75,243.97,250.19,1051535,SPOT,1
9/30/20,244.0,246.47,240.6,242.57,1131808,SPOT,2
9/29/20,237.39,244.33,234.64,242.45,1217486,SPOT,3
9/28/20,243.0,243.99,233.49,236.42,937946,SPOT,4
9/25/20,233.98,236.34,229.47,235.98,771138,SPOT,5
9/24/20,233.0,234.7,225.18,231.26,1451254,SPOT,6
9/23/20,241.96,244.84,234.57,235.05,1142056,SPOT,7
9/22/20,239.24,241.77,234.02,241.01,1539575,SPOT,8
9/21/20,232.0,240.0,230.13,239.34,998322,SPOT,9
9/18/20,235.18,237.19,229.93,233.89,1298199,SPOT,10
9/17/20,230.82,238.99,228.01,234.31,1913641,SPOT,11
9/16/20,232.0,241.11,220.7,234.85,5340002,SPOT,12
9/15/20,242.5,244.59,237.01,237.91,1233001,SPOT,13
9/14/20,246.26,248.07,238.33,238.55,1185653,SPOT,14
9/11/20,249.64,251.45,237.51,241.6,1371633,SPOT,15
9/10/20,260.03,265.89,247.35,247.78,3026326,SPOT,16
9/9/20,247.99,250.96,243.01,244.93,1057128,SPOT,17
9/8/20,240.66,247.34,237.12,240.02,1470034,SPOT,18
9/4/20,259.31,260.44,238.66,248.21,2062756,SPOT,19
9/3/20,268.0,274.97,258.69,261.66,1845517,SPOT,20
9/2/20,291.85,294.67,266.08,276.29,2455724,SPOT,21
9/1/20,284.65,293.0,282.09,291.75,1234512,SPOT,22
8/31/20,280.28,284.91,278.83,282.16,882121,SPOT,23
8/28/20,276.1,284.62,274.06,279.36,1378142,SPOT,24
8/27/20,278.98,278.99,268.14,272.01,1243898,SPOT,25
8/26/20,268.76,280.0,268.76,278.29,1314388,SPOT,26
8/25/20,267.78,269.27,257.48,268.69,1265992,SPOT,27
8/24/20,276.81,279.24,266.11,269.13,1249976,SPOT,28
8/21/20,271.03,276.88,268.63,270.98,1612056,SPOT,29
8/20/20,260.0,270.89,258.64,269.33,1730690,SPOT,30
8/19/20,259.98,264.5,256.92,261.72,1372012,SPOT,31
8/18/20,258.96,260.67,253.62,256.8,989069,SPOT,32
8/17/20,254.31,260.98,250.86,259.91,1345421,SPOT,33
8/14/20,255.98,258.59,249.66,251.32,984170,SPOT,34
8/13/20,249.42,254.69,247.3,253.66,1388673,SPOT,35
8/12/20,255.36,265.97,251.69,253.29,2030929,SPOT,36
8/11/20,246.61,262.14,243.51,253.72,2621035,SPOT,37
8/10/20,251.49,252.95,241.27,248.99,1389617,SPOT,38
8/7/20,256.02,256.19,248.63,252.12,1239633,SPOT,39
8/6/20,252.53,256.36,249.5,255.32,1341331,SPOT,40
8/5/20,249.84,251.98,246.0,249.25,1656945,SPOT,41
